Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Steven Adams\adamsst01,C,22,OKC,18,18,30.7,3.8,6.2,0.613,0,0.1,0,3.8,6.1,0.618,0.613,2.6,4.1,0.63,3.4,6.1,9.5,0.7,0.5,0.8,0.9,3.1,10.1,16.8,0.636,0.009,0.658,12.7,21.6,17.2,3.5,0.8,2,10.6,12.6,1.5,0.6,2.1,0.179,1,2,3,0.7
2,Cole Aldrich\aldrico01,C,27,LAC,6,0,12.8,1.7,2.5,0.667,0,0,,1.7,2.5,0.667,0.667,0.5,1,0.5,1.3,3.7,5,0.5,1,0.5,0.3,1.8,3.8,21.4,0.652,0,0.4,10.4,28.1,19.3,6,4,3.3,10.2,11.4,0.2,0.2,0.4,0.254,1,5.4,6.4,0.2
3,LaMarcus Aldridge\aldrila01,PF,30,SAS,10,10,33.7,8.8,16.9,0.521,0.2,0.2,1,8.6,16.7,0.515,0.527,4.1,4.6,0.891,2.2,6.1,8.3,1,0.4,1.4,1.1,1.8,21.9,25,0.579,0.012,0.272,8,19.7,14.2,5.4,0.6,3.3,5.5,27.7,1,0.5,1.6,0.223,2.6,-0.9,1.8,0.3
4,Lavoy Allen\allenla01,PF,26,IND,6,3,8.5,0.5,1.7,0.3,0,0,,0.5,1.7,0.3,0.3,0,0,,0.7,1.7,2.3,0.3,0.2,0.2,0.2,0.3,1,7.1,0.3,0,0,9.7,21,15.7,6.2,1.1,1.6,9.1,10.4,0,0.1,0,0.031,-5.4,2.3,-3.1,0
5,Tony Allen\allento01,SG,34,MEM,4,2,23.5,2.5,8.3,0.303,0.3,1.8,0.143,2.3,6.5,0.346,0.318,2.3,3.3,0.692,1.5,1.3,2.8,0.8,1.3,0.5,1.5,2.8,7.5,6.7,0.387,0.212,0.394,6.4,7.2,6.8,5.7,2.9,1.9,13.4,21.9,-0.2,0,-0.2,-0.103,-7.8,3.4,-4.4,-0.1
6,Al-Farouq Aminu\aminual01,SF,25,POR,11,11,33.8,5.1,11.6,0.438,2.5,6.4,0.4,2.5,5.3,0.483,0.547,1.9,2.6,0.724,2.1,6.5,8.6,1.8,0.7,0.9,1.9,2.8,14.6,15.5,0.572,0.547,0.227,6.2,20.4,13.1,8.7,1.1,2.1,13,18.6,0.5,0.3,0.8,0.1,0.3,2.3,2.5,0.4
7,Chris Andersen\anderch01,C,37,MEM,4,2,19.8,1.3,3,0.417,0,0,,1.3,3,0.417,0.417,1.3,2,0.625,3.3,4.5,7.8,0.8,0.5,0.8,1.3,1,3.8,14.7,0.483,0,0.667,16.5,31,22.7,6.3,1.4,3.3,24.4,11.9,0,0,0,0.021,-6.8,5.8,-1,0
8,Justin Anderson\anderju01,SF,22,DAL,5,1,19,3.4,7.4,0.459,0.8,2.6,0.308,2.6,4.8,0.542,0.514,1.8,2.8,0.643,1.8,2.2,4,1.4,0.8,0.6,1,2.4,9.4,19.2,0.544,0.351,0.378,10.6,14.1,12.3,13.2,2.2,2.8,10.4,23.5,0.2,0,0.1,0.058,-1,4.5,3.5,0.1
9,Kyle Anderson\anderky01,SF,22,SAS,10,0,12.9,0.8,2.5,0.32,0.1,0.3,0.333,0.7,2.2,0.318,0.34,0.6,0.7,0.857,0.2,2.2,2.4,0.7,0.6,0.3,0.4,1.1,2.3,7.7,0.41,0.12,0.28,1.9,18.6,10.7,7.3,2.4,1.8,12.5,11.6,-0.1,0.2,0.1,0.055,-3,3.1,0.1,0.1
10,Trevor Ariza\arizatr01,SF,30,HOU,5,5,36.2,2.6,10.2,0.255,0.8,5.6,0.143,1.8,4.6,0.391,0.294,0.6,0.8,0.75,1.4,2.8,4.2,0.8,2.6,0.2,2.4,3.2,6.6,1.8,0.313,0.549,0.078,3.9,8.7,6.1,3.6,3.5,0.5,18.5,14.7,-0.5,0.1,-0.4,-0.116,-8.3,4,-4.3,-0.1
