Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
17,Davis Bertans\bertada01,PF,24,SAS,13,0,8.6,0.9,2.1,0.444,0.6,1.5,0.4,0.3,0.5,0.571,0.593,0.3,0.5,0.667,0.4,1.2,1.5,0.2,0.2,0.3,0.5,0.5,2.8,11.7,0.607,0.741,0.222,5,16.1,10.3,3.7,1.4,3.5,16.8,14.1,0.1,0.1,0.2,0.076,-1.1,1.7,0.6,0.1
18,Patrick Beverley\beverpa01,SG,28,HOU,11,11,29.5,4.1,9.9,0.413,1.9,4.7,0.404,2.2,5.2,0.421,0.509,1,1.3,0.786,1.9,3.6,5.5,3,1.5,0.2,1.6,3.5,11.1,13.2,0.53,0.477,0.128,7.2,13,10.1,16.1,2.5,0.5,13.5,18,0.2,0.4,0.7,0.099,0.6,2.2,2.8,0.4
19,Bojan Bogdanovic\bogdabo02,SF,27,WAS,13,0,20.3,2.8,6.7,0.414,1.2,3.5,0.356,1.5,3.2,0.476,0.506,2.1,2.5,0.844,0.8,3.5,4.3,0.7,0.5,0.1,0.6,1.3,8.8,13.6,0.569,0.517,0.368,4.4,20.2,12.3,4.9,1.1,0.3,7.3,17.8,0.4,0.2,0.6,0.113,-0.4,-2.1,-2.5,0
20,Joel Bolomboy\bolomjo01,PF,23,UTA,2,0,4.5,1,1.5,0.667,0,0,,1,1.5,0.667,0.667,0,0,,0,1,1,0,0,0.5,0,0,2,21.8,0.667,0,0,0,26.8,13.3,0,0,9.9,0,15.9,0,0,0,0.164,-5.7,2.1,-3.5,0
21,Avery Bradley\bradlav01,SG,26,BOS,18,18,35.8,6.7,15.1,0.441,2.2,6.3,0.351,4.4,8.8,0.506,0.515,1.2,1.5,0.778,1,2.9,3.9,2.3,1.3,0.2,1.7,2.2,16.7,12,0.53,0.419,0.099,3.2,10,6.4,10.4,1.8,0.4,9.8,22.1,-0.1,0.3,0.2,0.016,-1.9,-0.4,-2.3,0
22,Malcolm Brogdon\brogdma01,SG,24,MIL,6,6,30.5,3.7,9.2,0.4,1.7,3.5,0.476,2,5.7,0.353,0.491,0,0,,0.5,3.8,4.3,3.5,0.5,0.3,2,2,9,8.1,0.491,0.382,0,1.8,16.3,8.5,19,0.9,1.1,17.9,17.5,-0.2,0.3,0.1,0.02,-2.2,-0.1,-2.3,0
23,Aaron Brooks\brookaa01,PG,32,IND,1,0,7,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,1,1,1,0,0,1,0,5,23.5,0.833,0.667,0,0,17,8.4,25.6,0,0,25,25,0,0,0,0.109,3.5,-2.4,1.1,0
24,Bobby Brown\brownbo02,PG,32,HOU,5,0,4.4,2,4,0.5,1,2.2,0.455,1,1.8,0.556,0.625,0,0,,0,0.4,0.4,0.2,0,0,0,0.2,5,31.7,0.625,0.55,0,0,9.6,4.9,14.4,0,0,0,39.9,0.1,0,0.1,0.158,9.7,-7.3,2.4,0
25,Jaylen Brown\brownja02,SF,20,BOS,17,0,12.6,2,4.2,0.479,0.3,1.4,0.217,1.7,2.8,0.604,0.514,0.7,1.1,0.667,0.7,1.4,2.1,0.8,0.4,0.1,0.8,1.5,5,10.6,0.539,0.324,0.254,6.3,13.5,9.8,9.5,1.4,0.8,14.1,19.4,0,0.1,0.1,0.022,-3.8,-0.4,-4.2,-0.1
26,Trey Burke\burketr01,PG,24,WAS,3,0,6.7,0,1.3,0,0,0.7,0,0,0.7,0,0,0,0,,0,0,0,1.7,0,0,0,0.7,0,-1.6,0,0.5,0,0,0,0,30.2,0,0,0,8.6,0,0,0,-0.108,-10.4,-9,-19.4,-0.1
27,Jimmy Butler\butleji01,SF,27,CHI,6,6,39.8,7.7,18,0.426,1,3.8,0.261,6.7,14.2,0.471,0.454,6.3,7.8,0.809,1.5,5.8,7.3,4.3,1.7,0.8,2.5,1.7,22.7,19.4,0.528,0.213,0.435,4.3,16.2,10.3,19.3,2.2,2.2,10.4,27.1,0.3,0.3,0.6,0.116,0.3,1.2,1.5,0.2
28,Jose Calderon\caldejo01,PG,35,ATL,6,0,12.5,1.8,3.8,0.478,0.7,2,0.333,1.2,1.8,0.636,0.565,0,0,,0.3,1,1.3,2.2,0.3,0.2,0.7,1.5,4.3,12.4,0.565,0.522,0,3,9,6,27.3,1.3,1.1,14.8,15.3,0.1,0.1,0.2,0.111,0.8,-0.3,0.5,0
29,Isaiah Canaan\canaais01,SG,25,CHI,3,2,31.7,4.3,8.7,0.5,1.7,4.7,0.357,2.7,4,0.667,0.596,1.3,2,0.667,0,1.3,1.3,1.3,1,0,1.7,2,11.7,9.7,0.611,0.538,0.231,0,4.6,2.4,6.8,1.6,0,14.9,16,0.1,0,0.1,0.047,-1.6,-1.8,-3.5,0
30,Clint Capela\capelca01,C,22,HOU,11,11,26,4.2,7.5,0.561,0,0.1,0,4.2,7.4,0.568,0.561,2.2,3.5,0.615,2.4,6.4,8.7,1.1,0.7,2.5,0.7,2.5,10.5,21.1,0.585,0.012,0.476,10.1,25.8,18.1,6.9,1.4,7.5,7.5,16.5,0.6,0.6,1.2,0.199,-1.4,5.6,4.2,0.4
31,DeMarre Carroll\carrode01,SF,30,TOR,10,7,15.5,1.5,3.7,0.405,0.7,2.2,0.318,0.8,1.5,0.533,0.5,0.5,0.9,0.556,0.4,2.3,2.7,0.5,0.8,0.5,0.5,1.3,4.2,10.4,0.513,0.595,0.243,3.2,17.8,10.5,5.1,2.7,2.9,10.9,13.9,-0.1,0.2,0.2,0.06,-2.4,3.1,0.6,0.1
32,Vince Carter\cartevi01,SF,40,MEM,6,6,32.5,3.3,7,0.476,1.3,3.3,0.4,2,3.7,0.545,0.571,1.2,1.2,1,0.7,2.7,3.3,1.5,0.3,0,1.7,2.5,9.2,8.1,0.61,0.476,0.167,2.6,10.6,6.6,7.6,0.6,0,18.2,14.2,0.1,-0.1,0,-0.001,-3.3,1.6,-1.7,0
33,Michael Carter-Williams\cartemi01,PG,25,CHI,5,0,10.6,1.2,3,0.4,0,0.2,0,1.2,2.8,0.429,0.4,0.4,0.8,0.5,0.2,0.6,0.8,1.2,0.4,0.2,1.2,1.2,2.8,3.4,0.418,0.067,0.267,2.1,6.2,4.2,17.6,2,1.9,26.4,19.3,-0.2,0,-0.1,-0.111,-8.8,-0.1,-9,-0.1
34,Semaj Christon\chrisse01,PG,24,OKC,2,0,10.5,1,2.5,0.4,0.5,1.5,0.333,0.5,1,0.5,0.5,0,0,,0,1.5,1.5,2.5,0.5,0,0,0.5,2.5,15.2,0.5,0.6,0,0,16.3,7.7,33.6,2.3,0,0,10.2,0,0,0.1,0.14,-1.9,-1.4,-3.3,0
35,Ian Clark\clarkia01,SG,25,GSW,16,0,13.7,2.5,4.9,0.506,0.8,2.3,0.361,1.7,2.7,0.628,0.589,1,1.1,0.941,0.3,1.4,1.6,0.7,0.4,0,0.7,1.1,6.8,13.6,0.63,0.456,0.215,2.1,10.1,6.4,7.1,1.3,0,11.3,19.1,0.3,0.3,0.6,0.122,1.6,-2.2,-0.6,0.1
36,Norris Cole\coleno01,PG,28,OKC,4,0,6.3,0.5,2,0.25,0.3,1,0.25,0.3,1,0.25,0.313,0,0,,0,0.3,0.3,0.3,0,0.3,0.5,1,1.3,-4.6,0.313,0.5,0,0,4.6,2.2,5.5,0,3.8,20,17.1,-0.1,0,-0.1,-0.203,-12.2,-1.7,-13.9,-0.1
37,Mike Conley\conlemi01,PG,29,MEM,6,6,37.3,8.3,17.2,0.485,2.8,6.3,0.447,5.5,10.8,0.508,0.568,5.2,6.2,0.838,0.2,3.2,3.3,7,1.7,0.5,2,1.8,24.7,27.4,0.62,0.369,0.359,0.6,11,5.8,38.5,2.5,1.2,9.1,29.4,0.9,0.1,1,0.204,6.6,1.9,8.5,0.6
38,Pat Connaughton\connapa01,SG,24,POR,3,0,8,0.7,3,0.222,0,2,0,0.7,1,0.667,0.222,1,1,1,0.3,2,2.3,1.3,0,0,0,0,2.3,10.4,0.339,0.667,0.333,4.1,28.6,15.5,25.4,0,0,0,17.9,0,0,0,-0.034,-4,2.2,-1.8,0
39,Allen Crabbe\crabbal01,SG,24,POR,4,0,23,2.3,6,0.375,0.8,3.3,0.231,1.5,2.8,0.545,0.438,0.3,0.8,0.333,0,3,3,0.5,0.3,0,0.3,2.3,5.5,3.7,0.434,0.542,0.125,0,14.9,6.9,3.4,0.5,0,3.8,11.9,-0.1,0,-0.1,-0.043,-6.8,2,-4.8,-0.1
40,Jamal Crawford\crawfja01,SG,36,LAC,7,0,28,5,11.9,0.422,0.9,3.6,0.24,4.1,8.3,0.5,0.458,1.7,1.7,1,0.3,1,1.3,1.9,0.6,0.1,1.3,1.7,12.6,10.6,0.498,0.301,0.145,1.3,4.7,2.9,11.4,1.1,0.5,9.3,23.9,-0.1,0.2,0.1,0.012,-2.6,-1.1,-3.7,-0.1
41,Jae Crowder\crowdja01,SF,26,BOS,18,18,33.1,4.8,11.1,0.435,1.7,4.9,0.352,3.1,6.2,0.5,0.513,2.2,2.7,0.833,1.1,5.3,6.4,2.7,1.1,0.3,0.7,2.9,13.6,14.5,0.554,0.44,0.24,3.8,19.3,11.3,12.4,1.6,0.9,5.1,17.7,0.9,0.4,1.3,0.108,-0.4,1.2,0.7,0.4
42,Stephen Curry\curryst01,PG,28,GSW,17,17,35.4,8.9,18.4,0.484,4.2,10.1,0.419,4.6,8.2,0.564,0.599,6.1,6.7,0.904,1.3,4.9,6.2,6.7,2,0.2,3.4,2.2,28.1,27.1,0.659,0.551,0.365,4.2,14.1,9.5,29.5,2.7,0.5,13.8,30,2.3,1.1,3.4,0.272,10.4,0.4,10.8,2
43,Troy Daniels\danietr01,SG,25,MEM,6,0,11.3,0.5,1.5,0.333,0.5,1.5,0.333,0,0,,0.5,0,0,,0.2,0.7,0.8,0.3,0.3,0,0.3,0.2,1.5,4.7,0.5,1,0,1.9,7.6,4.8,4.4,1.6,0,18.2,8.1,0,0,0,-0.033,-4.8,2.4,-2.3,0
44,Deyonta Davis\davisde01,C,20,MEM,3,0,3.7,1,1.7,0.6,0,0,,1,1.7,0.6,0.6,0.3,0.7,0.5,0.7,1,1.7,0,0,0,0,0.7,2.3,27.7,0.595,0,0.4,23.5,35.4,29.4,0,0,0,0,26.8,0,0,0,0.215,-3.1,-8.5,-11.6,0
45,Dewayne Dedmon\dedmode01,C,27,SAS,12,3,8.1,1.2,1.9,0.609,0,0,,1.2,1.9,0.609,0.609,1.4,2.7,0.531,1.8,2.2,3.9,0.3,0.2,0.3,0.7,1.3,3.8,21.7,0.607,0,1.391,24,32.3,28,4.6,1.1,3.1,17.7,20.6,0.2,0.1,0.3,0.17,-0.7,0.6,-0.1,0
46,Sam Dekker\dekkesa01,SF,22,HOU,4,0,7.8,0.8,3,0.25,0.8,1.5,0.5,0,1.5,0,0.375,0,0,,1.3,1.3,2.5,0.3,0.3,0.3,0,0.5,2.3,12.4,0.375,0.5,0,17.9,17,17.4,4.8,1.6,2.5,0,17,0,0,0.1,0.078,-1.9,0.3,-1.6,0
47,Malcolm Delaney\delanma01,PG,27,ATL,1,0,3,3,3,1,1,1,1,2,2,1,1.167,1,2,0.5,0,1,1,0,0,0,0,0,8,105.5,1.031,0.333,0.667,0,37.5,18.7,0,0,0,0,54.8,0.1,0,0.1,1.801,36.2,-15.7,20.6,0
48,Matthew Dellavedova\dellama01,PG,26,MIL,6,0,26.5,2.7,6.8,0.39,1,2.7,0.375,1.7,4.2,0.4,0.463,1.3,1.7,0.8,0.2,1.8,2,2,0.2,0,1.2,0.8,7.7,6.9,0.507,0.39,0.244,0.7,9,4.5,12.1,0.3,0,13.4,15.7,-0.1,0.2,0.1,0.029,-2.2,-2.3,-4.5,-0.1
49,DeMar DeRozan\derozde01,SG,27,TOR,10,10,37.3,7.6,17.5,0.434,0.1,1.5,0.067,7.5,16,0.469,0.437,7.1,8,0.888,0.4,4.5,4.9,3.4,1.4,0,2.5,2.6,22.4,16.6,0.533,0.086,0.457,1.3,14.5,8,17.1,1.9,0,10.6,29.6,0.1,0.4,0.5,0.062,-1.2,0.1,-1.1,0.1
50,Boris Diaw\diawbo01,PF,34,UTA,11,9,18.5,2.2,4.4,0.5,0.5,1.3,0.429,1.6,3.1,0.529,0.563,0.8,0.9,0.9,0.3,1.6,1.9,2,0.6,0.4,1.3,1.1,5.7,11.9,0.601,0.292,0.208,1.8,10.7,6.2,17.4,1.8,1.8,21.1,15.6,0.1,0.2,0.3,0.061,-2.6,2.8,0.2,0.1
51,Mike Dunleavy\dunlemi02,SF,36,ATL,6,0,8.8,0.5,1.2,0.429,0.3,0.8,0.4,0.2,0.3,0.5,0.571,0.7,0.7,1,0.2,0.7,0.8,0.3,0.2,0,1,0.5,2,3.5,0.685,0.714,0.571,2.1,8.5,5.3,5.2,0.9,0,40.7,11.8,-0.1,0,0,-0.012,-4.1,0.3,-3.8,0
52,Kevin Durant\duranke01,SF,28,GSW,15,15,35.5,9.9,17.9,0.556,2.5,5.7,0.442,7.4,12.1,0.61,0.627,6.1,6.9,0.893,1.1,6.9,7.9,4.3,0.8,1.3,2.5,2.6,28.5,27.5,0.683,0.321,0.384,3.5,19.5,12,19.5,1.1,3,10.8,28.3,2.2,0.9,3.1,0.28,7.7,0.9,8.7,1.4
53,Monta Ellis\ellismo01,SG,31,IND,4,2,19,2,5,0.4,0.5,2,0.25,1.5,3,0.5,0.45,1,1.3,0.8,0.3,1.8,2,1.3,0.5,0.3,1,1.3,5.5,7.4,0.495,0.4,0.25,1.5,11,6.2,8.9,1.3,1.3,15.3,15.1,0,0,0,-0.024,-5.3,1.1,-4.2,0
54,James Ennis\ennisja01,SF,26,MEM,6,4,26.5,2.7,6.3,0.421,1,3.2,0.316,1.7,3.2,0.526,0.5,2,2.3,0.857,1.3,2.8,4.2,1.2,0.8,0.3,1.2,3.3,8.3,11.3,0.566,0.5,0.368,6.5,13.9,10.2,7.2,1.8,1.2,13.7,16.1,0.1,0,0.2,0.046,-2.3,3,0.6,0.1
55,Dante Exum\exumda01,PG,21,UTA,7,0,12,1.6,3.9,0.407,0.6,1.7,0.333,1,2.1,0.467,0.481,0.9,0.9,1,0.3,0.6,0.9,1.3,0.7,0,0.4,1.4,4.6,13.3,0.54,0.444,0.222,2.8,5.7,4.3,17.5,3.1,0,9.2,18.5,0.1,0.1,0.2,0.097,-0.2,1,0.8,0.1
56,Derrick Favors\favorde01,PF,25,UTA,11,2,20.5,3.3,5.6,0.581,0,0,,3.3,5.6,0.581,0.581,1,2.1,0.478,1.4,4.1,5.5,0.9,0.7,0.5,0.4,2.3,7.5,17,0.575,0,0.371,8,24.1,16,7.6,1.9,2.4,5.3,16.1,0.4,0.3,0.7,0.145,-1.7,4,2.3,0.2
57,Cristiano Felicio\feliccr01,C,24,CHI,6,0,13.7,1.5,2.5,0.6,0,0,,1.5,2.5,0.6,0.6,0.2,0.3,0.5,1.2,3.2,4.3,0.3,0.5,0.3,1.2,2.7,3.2,8.9,0.598,0,0.133,9.7,25.6,17.8,3.8,1.9,2.5,30.6,12.6,-0.1,0.1,0.1,0.034,-5.9,2.1,-3.8,0
58,Raymond Felton\feltora01,PG,32,LAC,7,0,18.1,2.1,4.6,0.469,0.6,1.3,0.444,1.6,3.3,0.478,0.531,0.7,0.7,1,0.3,1.1,1.4,1.4,0.9,0,0.4,1.4,5.6,12.4,0.57,0.281,0.156,2,8.2,5,12.3,2.5,0,8.1,14.1,0.2,0.1,0.3,0.115,-0.3,1.8,1.5,0.1
59,Bryn Forbes\forbebr01,SG,23,SAS,6,0,12.2,1,3.5,0.286,0.3,1.5,0.222,0.7,2,0.333,0.333,1,1,1,0,1,1,0.5,0,0.2,0.3,0.8,3.3,3.8,0.423,0.429,0.286,0,9.9,4.7,5.6,0,1.4,7.8,15.5,-0.1,0,0,-0.026,-5.4,-1,-6.4,-0.1
60,Channing Frye\fryech01,C,33,CLE,12,0,12.8,2.6,5,0.517,1.7,3.3,0.513,0.9,1.8,0.524,0.683,0.5,0.6,0.857,0,1.8,1.8,1.1,0.3,0.3,0.2,0.9,7.3,21.3,0.698,0.65,0.117,0,15.8,8.3,13,1,2.2,3.1,18.8,0.6,0.1,0.7,0.23,4.6,-0.2,4.4,0.3
61,Marc Gasol\gasolma01,C,32,MEM,6,6,40,6.5,13.8,0.47,1.2,2,0.583,5.3,11.8,0.451,0.512,5.2,5.5,0.939,1.2,5.3,6.5,4.2,0.3,0.7,2.5,3.7,19.3,17.1,0.595,0.145,0.398,3.8,17.3,10.5,19,0.5,1.5,13.3,23.5,0.4,0,0.4,0.085,-1.4,2.5,1.2,0.2
62,Pau Gasol\gasolpa01,C,36,SAS,16,7,22.8,3.1,7.1,0.439,0.4,1.1,0.333,2.8,6,0.458,0.465,1.1,1.5,0.708,2.4,4.7,7.1,1.9,0.4,0.9,1.1,2.2,7.7,15.1,0.494,0.158,0.211,11.9,24.7,18,12.4,1,4.1,12.6,17.3,0.3,0.4,0.7,0.093,-1.4,4,2.6,0.4
63,Paul George\georgpa01,SF,26,IND,4,4,43,8.5,22,0.386,4.5,10.5,0.429,4,11.5,0.348,0.489,6.5,7.5,0.867,1.3,7.5,8.8,7.3,1.8,0.5,3.3,3.3,28,21,0.553,0.477,0.341,3.4,20.8,11.9,26.1,2.1,1.1,11.4,29,0.4,0.1,0.5,0.131,2.3,2,4.3,0.3
64,Taj Gibson\gibsota01,PF,31,OKC,5,5,23.6,4.2,7,0.6,0,0,,4.2,7,0.6,0.6,1.4,1.6,0.875,0.6,3,3.6,0.6,0.2,0,1.6,2.6,9.8,10.5,0.636,0,0.229,2.6,14.5,8.2,4.1,0.4,0,17.2,16.9,0.1,0,0.1,0.033,-5.6,-2.3,-7.9,-0.2
65,Manu Ginobili\ginobma01,SG,39,SAS,16,1,17.8,2.5,6.1,0.412,0.6,2.5,0.225,1.9,3.6,0.544,0.459,1.1,1.4,0.739,0.6,1.8,2.4,2.4,1,0.1,0.8,1.8,6.6,14.1,0.495,0.412,0.237,3.9,12.3,7.9,20.1,2.9,0.7,10.1,18.6,0.3,0.3,0.5,0.092,0.3,1.8,2.1,0.3
66,Rudy Gobert\goberru01,C,24,UTA,9,9,27.3,4.4,7,0.635,0,0,,4.4,7,0.635,0.635,2.7,5.6,0.48,2.4,7.4,9.9,1.2,1,1.3,1,3.3,11.6,21,0.612,0,0.794,10.7,32.8,21.7,7.7,1.9,4.3,9.6,18.2,0.5,0.4,0.9,0.185,-1.2,5.3,4.1,0.4
67,Eric Gordon\gordoer01,SG,28,HOU,11,2,32.5,4.6,11,0.421,2.5,6.4,0.386,2.2,4.6,0.471,0.533,1.2,1.6,0.722,0.5,3.5,3.9,2,0.7,0.5,1.3,1.8,12.9,11.5,0.551,0.579,0.149,1.5,11.2,6.5,9.8,1.1,1.3,9.8,17.5,0.2,0.3,0.5,0.072,-0.5,0.7,0.2,0.2
68,Marcin Gortat\gortama01,C,32,WAS,13,13,31.5,3.6,7.2,0.505,0,0,,3.6,7.2,0.505,0.505,0.8,1.4,0.611,4,7,11,1.8,0.4,1.5,1.3,3.1,8.1,14,0.52,0,0.194,14.6,25.8,20.2,8.2,0.6,4.4,14.4,12.4,0.4,0.5,0.9,0.107,-1.7,3,1.4,0.3
69,Jerami Grant\grantje01,SF,22,OKC,5,0,22.2,3.8,6.2,0.613,0.4,1.2,0.333,3.4,5,0.68,0.645,1.2,1.4,0.857,1.4,2.4,3.8,0.8,0.2,0.4,0.6,1.4,9.2,16.2,0.675,0.194,0.226,6.4,12.4,9.2,5.7,0.4,1.7,8.1,14.3,0.3,0,0.3,0.129,-1.3,-1.2,-2.6,0
70,Jerian Grant\grantje02,PG,24,CHI,5,2,10.4,1.2,4.6,0.261,0.2,1.8,0.111,1,2.8,0.357,0.283,0.6,0.6,1,0,0.8,0.8,1,0.4,0,1.4,0.6,3.2,-2.5,0.329,0.391,0.13,0,8.5,4.3,15,2,0,22.3,27.1,-0.3,0,-0.3,-0.253,-11.8,-2.5,-14.2,-0.2
71,Danny Green\greenda02,SG,29,SAS,16,16,27.3,2.8,6.9,0.405,1.6,4.8,0.342,1.2,2.2,0.543,0.523,0.5,0.9,0.571,0.8,2.8,3.6,1.4,0.6,0.9,1.1,1.9,7.8,9.6,0.529,0.685,0.126,3.3,12.2,7.6,7.3,1.2,3.4,12.7,13.6,0.1,0.3,0.5,0.051,-0.8,2.7,2,0.4
72,Draymond Green\greendr01,PF,26,GSW,17,17,34.9,4.2,9.5,0.447,1.9,4.6,0.41,2.4,4.9,0.482,0.547,2.7,3.9,0.687,1.2,7.9,9.1,6.5,1.8,1.6,2.1,3.5,13.1,17.9,0.583,0.484,0.416,3.9,23,14.1,24,2.5,3.8,15.9,16.4,1.1,1.4,2.4,0.196,3.3,4.8,8.1,1.5
73,Gerald Green\greenge01,SF,31,BOS,13,7,14.8,2.6,5.5,0.472,1.6,3.5,0.467,1,2.1,0.481,0.618,0.6,0.7,0.889,0.2,1.4,1.5,0.7,0.2,0.1,0.5,1.6,7.5,13.3,0.638,0.625,0.125,1.2,11.4,6.1,7.6,0.8,0.4,8.4,19.6,0.3,0,0.3,0.076,-0.1,-2.5,-2.5,0
