Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
56,Boris Diaw\diawbo01,PF,32,SAS,7,0,28.3,4.9,10.1,0.479,0.6,2.6,0.222,4.3,7.6,0.566,0.507,1.3,1.9,0.692,1.9,4.3,6.1,3.6,0.7,0.4,1.3,3.4,11.6,16.5,0.528,0.254,0.183,6.8,16.7,11.6,20.6,1.3,1.2,10.5,19.4,0.4,0.2,0.5,0.127,1.1,2.7,3.8,0.3
57,Joey Dorsey\dorsejo01,PF,31,HOU,6,0,2.2,0,0.3,0,0,0,,0,0.3,0,0,0.2,0.3,0.5,0.2,0.5,0.7,0.3,0,0,0.2,0.3,0.2,0.7,0.174,0,1,8.1,23.7,16,19.8,0,0,25.8,12.5,0,0,0,-0.117,-9.8,1.9,-7.9,0
58,Jared Dudley\dudleja01,SG,29,MIL,6,0,18.3,2.3,5,0.467,1.3,2.3,0.571,1,2.7,0.375,0.6,0.7,1.2,0.571,0.5,1.3,1.8,1.3,2,0.3,0.8,2,6.7,17.2,0.605,0.467,0.233,2.7,8.4,5.3,13,5.6,1.6,13.1,15.6,0.1,0.2,0.3,0.143,1.2,3.4,4.5,0.2
59,Tim Duncan\duncati01,C,38,SAS,7,7,35.7,7.6,12.9,0.589,0,0.1,0,7.6,12.7,0.596,0.589,2.7,4.9,0.559,2.7,8.4,11.1,3.3,1.3,1.4,1,3.7,17.9,24.2,0.595,0.011,0.378,7.9,26,16.6,16,1.8,3.1,6.3,20.1,0.8,0.4,1.2,0.229,2.6,5.1,7.7,0.6
60,Mike Dunleavy\dunlemi02,SF,34,CHI,12,12,32.4,3.6,7.3,0.489,2.3,4.7,0.482,1.3,2.7,0.5,0.642,1.5,1.6,0.947,0.6,3.4,4,2.6,0.8,0.4,1.3,2.6,10.9,14.4,0.68,0.636,0.216,2,11.3,6.8,13.1,1.4,1,13.5,13,0.9,0.5,1.4,0.169,3.4,0.3,3.7,0.6
61,Monta Ellis\ellismo01,SG,29,DAL,5,5,39.4,10.4,22.2,0.468,2.2,6,0.367,8.2,16.2,0.506,0.518,3,4,0.75,0.8,2.4,3.2,5.2,2,0.6,3.2,3.6,26,19.5,0.543,0.27,0.18,2,6.5,4.2,21.9,2.4,1.2,11.8,28.2,0.4,0,0.4,0.094,1.6,0.7,2.3,0.2
62,Tyler Ennis\ennisty01,PG,20,MIL,1,0,16,2,9,0.222,1,5,0.2,1,4,0.25,0.278,0,0,,3,1,4,3,0,0,0,1,5,10.3,0.278,0.556,0,18.3,7.2,13.3,33.3,0,0,0,25.3,0,0,0,-0.076,2.8,-2.5,0.3,0
63,Tyreke Evans\evansty01,SG,25,NOP,4,4,31.3,3.5,10.8,0.326,0.5,2.8,0.182,3,8,0.375,0.349,2.5,4.3,0.588,0.8,4.3,5,5,1.3,0.3,1.5,2.5,10,10.8,0.396,0.256,0.395,2.7,14.8,8.9,24.3,2.1,0.7,10.6,20.6,-0.1,0,-0.1,-0.037,-4.8,3.6,-1.2,0
64,Festus Ezeli\ezelife01,C,25,GSW,20,0,9.2,1.4,2.5,0.54,0,0,,1.4,2.5,0.54,0.54,0.8,1.5,0.552,1.2,1.9,3.1,0.3,0.1,0.5,0.6,1.3,3.5,16.1,0.558,0,0.58,14.5,22.4,18.5,5.2,0.3,4.4,16.1,18.3,0.3,0.3,0.6,0.15,-2.1,0.6,-1.4,0
65,Raymond Felton\feltora01,PG,30,DAL,3,1,12,1.3,5,0.267,0,1.3,0,1.3,3.7,0.364,0.267,1,1,1,0.3,2,2.3,1.3,0,0,0,0.3,3.7,7.6,0.337,0.267,0.2,2.8,17.8,10,14.7,0,0,0,18.6,0,0,0,-0.038,-5.6,-0.4,-6,0
66,Tim Frazier\fraziti01,PG,24,POR,2,0,1.5,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0,0,0,0,0,0.5,0,0,-32,0,0,0,0,0,0,0,0,0,50,30.6,-0.1,0,-0.1,-0.889,-31,-1.2,-32.2,0
67,Joel Freeland\freeljo01,C,27,POR,2,0,3.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0.5,0,0,0,0,9.7,,,,0,15.7,7.7,0,7.5,0,,0,0,0,0,0.1,-5.9,9.2,3.3,0
68,Marc Gasol\gasolma01,C,30,MEM,11,11,37.8,6.5,16.4,0.394,0,0.2,0,6.5,16.2,0.399,0.394,6.8,8,0.852,1.7,8.5,10.3,4.5,0.9,1.7,1.5,3,19.7,21.3,0.496,0.011,0.489,4.9,25.4,15,20.5,1.3,4.2,6.8,25.8,0.8,0.6,1.4,0.161,0.8,5,5.8,0.8
69,Pau Gasol\gasolpa01,PF,34,CHI,10,10,31.7,5.6,11.5,0.487,0,0.4,0,5.6,11.1,0.505,0.487,3.2,4.2,0.762,1.7,7.7,9.4,3.1,0.5,2.1,2.1,1.8,14.4,20.1,0.539,0.035,0.365,6,26.1,16.3,18.1,0.8,5.3,13.6,22.2,0.4,0.7,1.1,0.166,-0.2,3.6,3.4,0.4
70,Alonzo Gee\geeal01,SF,27,POR,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0,16.3,,,,0,36.5,18,47.9,0,0,,0,0,0,0,0.181,-5.3,2.7,-2.6,0
71,Taj Gibson\gibsota01,PF,29,CHI,12,2,23,2.8,6,0.472,0,0,,2.8,6,0.472,0.472,1.8,2.5,0.7,2.1,3.4,5.5,1,0.3,1,0.9,2.1,7.4,14.3,0.522,0,0.417,10.1,16,13.1,7.3,0.8,3.5,11.4,15.9,0.3,0.4,0.8,0.132,-1.2,1.4,0.2,0.2
72,Manu Ginobili\ginobma01,SG,37,SAS,7,0,18.7,2.1,6.1,0.349,1.1,3.1,0.364,1,3,0.333,0.442,2.6,3.3,0.783,0.6,2.9,3.4,4.6,0.6,0.9,2,2.7,8,17.1,0.527,0.512,0.535,3.2,16.8,9.8,36.4,1.6,3.6,20.9,23,0.2,0.2,0.3,0.117,0.7,3.2,3.9,0.2
73,Drew Gooden\goodedr01,PF,33,WAS,10,0,17.8,2.3,6.1,0.377,1.2,2.6,0.462,1.1,3.5,0.314,0.475,1,1.3,0.769,1.3,4.2,5.5,0.8,0.2,1,1.4,2.1,6.8,12.5,0.51,0.426,0.213,8.2,24.8,16.8,7,0.6,4.4,17.3,20.1,0,0.3,0.3,0.083,-2.2,1.8,-0.4,0.1
74,Eric Gordon\gordoer01,SG,26,NOP,4,4,35.8,7,15.8,0.444,3.3,8,0.406,3.8,7.8,0.484,0.548,1.3,1.5,0.833,0.5,1.8,2.3,3.8,0.5,0.5,2.5,2.8,18.5,14.6,0.564,0.508,0.095,2.4,5.3,3.9,18.2,0.7,1.2,13,24.5,0.2,-0.1,0,0.008,0.1,0.1,0.2,0.1
75,Marcin Gortat\gortama01,C,30,WAS,10,10,30.7,5.4,8.6,0.628,0,0,,5.4,8.6,0.628,0.628,1.6,2.4,0.667,2.7,6.1,8.8,2.2,0.6,1.1,1.6,2.9,12.4,19.4,0.642,0,0.279,9.9,20.9,15.6,12.1,1,2.8,14.2,16.3,0.8,0.5,1.3,0.202,2.4,3.1,5.6,0.6
76,Danny Green\greenda02,SG,27,SAS,7,7,29.1,3,8.7,0.344,1.7,5.7,0.3,1.3,3,0.429,0.443,0.6,0.9,0.667,1,2.1,3.1,2.1,1,1,0.7,1.7,8.3,10.5,0.456,0.656,0.098,3.5,8.1,5.8,10.8,1.7,2.7,7.3,15.1,0.1,0.2,0.2,0.053,-0.7,2.9,2.2,0.2
77,Draymond Green\greendr01,PF,24,GSW,21,21,37.3,4.8,11.4,0.417,1.1,4.3,0.264,3.6,7.1,0.51,0.467,3,4.1,0.736,2.2,7.9,10.1,5.2,1.8,1.2,2.8,4.2,13.7,16.6,0.517,0.379,0.363,6.5,22.8,14.7,21.2,2.5,2.5,17.2,19.2,0.9,1.7,2.6,0.161,1.7,4.3,6,1.6
78,JaMychal Green\greenja01,PF,24,MEM,5,0,1.6,0,0.4,0,0,0.2,0,0,0.2,0,0,0.4,0.4,1,0,0.6,0.6,0,0.2,0.2,0,0.2,0.4,16.8,0.347,0.5,1,0,42.2,20.7,0,6.5,11.4,0,16.4,0,0,0,0.143,-8.6,7.4,-1.1,0
79,Jeff Green\greenje02,SF,28,MEM,11,2,27.1,3.3,9.8,0.333,0.4,1.6,0.222,2.9,8.2,0.356,0.352,2,2.4,0.846,0.8,3.9,4.7,1.7,0.5,0.5,1.5,1.6,8.9,7.9,0.41,0.167,0.241,3.3,16.2,9.6,10.2,0.9,1.5,11.8,20.8,-0.5,0.3,-0.2,-0.033,-4.9,1.6,-3.3,-0.1
80,Blake Griffin\griffbl01,PF,25,LAC,14,14,39.8,10,19.6,0.511,0.1,0.5,0.143,9.9,19.1,0.521,0.513,5.4,7.6,0.717,2.7,10,12.7,6.1,1,1,3.2,3.1,25.5,24.8,0.557,0.026,0.387,7.3,26.1,16.8,27.3,1.2,2.2,12.3,28.5,1.5,0.6,2.1,0.179,2.6,3.8,6.4,1.2
81,Jorge Gutierrez\gutiejo01,PG,26,MIL,1,0,12,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,1,0,0,0,1,2,6.5,0.5,0,0,0,9.7,4.4,13.8,0,0,0,7.5,0,0,0,0.047,-5.4,-1.7,-7.2,0
82,Tyler Hansbrough\hansbty01,PF,29,TOR,4,2,12,0.3,1.3,0.2,0,0,,0.3,1.3,0.2,0.2,0.8,1,0.75,0.3,1.3,1.5,0.8,0.5,0.3,0.5,2,1.3,3.5,0.37,0,0.8,2.2,12.6,7.1,8.6,2.1,1.8,22.8,8.2,0,0,0,-0.042,-8.4,3.9,-4.5,0
83,James Harden\hardeja01,SG,25,HOU,17,17,37.4,7.6,17.3,0.439,2.4,6.3,0.383,5.2,11,0.471,0.509,9.6,10.5,0.916,0.7,5,5.7,7.5,1.6,0.4,4.5,2.9,27.2,24.8,0.62,0.364,0.605,2,13.7,7.9,35,2.1,0.9,17.1,29.5,2.3,0.3,2.7,0.202,5.8,1.7,7.5,1.5
